City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bredasdorp,100,ZA,1585624327,81,-34.53,20.04,11,1.41
Hasaki,75,JP,1585624418,76,35.73,140.83,13.33,3.6
Lhokseumawe,85,ID,1585624522,66,5.18,97.15,30.1,0.79
Santa Fe,67,AR,1585624435,73,-31.63,-60.7,26.67,0.45
Atuona,5,PF,1585624372,74,-9.8,-139.03,28.13,7.18
Saint Anthony,1,US,1585624154,39,45.02,-93.22,10.56,2.1
Vestmannaeyjar,100,IS,1585624523,85,63.44,-20.27,6.75,10.57
Kalmunai,11,LK,1585624524,68,7.42,81.82,28.08,2.01
Zyryanka,96,RU,1585624524,91,65.75,150.85,-10.65,2.95
Sorong,44,ID,1585624491,79,-0.88,131.25,29.51,3.03
Tuktoyaktuk,20,CA,1585624416,64,69.45,-133.04,-19,6.2
Butaritari,23,KI,1585624408,79,3.07,172.79,28.42,7.35
Arraial do Cabo,75,BR,1585624383,88,-22.97,-42.03,25,2.1
Zhigansk,94,RU,1585624383,93,66.77,123.37,-14.44,3.52
Ushuaia,40,AR,1585624144,57,-54.8,-68.3,10,10.3
Hobart,75,AU,1585624309,45,-42.88,147.33,19,4.1
Tasiilaq,97,GL,1585624392,92,65.61,-37.64,-1,3.56
Chalmette,75,US,1585624439,83,29.94,-89.96,24,3.1
Cape Town,20,ZA,1585624204,77,-33.93,18.42,17.22,3.1
Bahile,20,PH,1585624526,62,10,118.79,32,5.1
Geraldton,40,AU,1585624429,41,-28.77,114.6,24,9.3
Nouadhibou,95,MR,1585624527,72,20.93,-17.03,19,4.6
Amasya Province,75,TR,1585624527,87,40.67,35.83,8,0.95
Constitución,0,CL,1585624527,55,-35.33,-72.42,14.86,3.94
Hermanus,99,ZA,1585624395,87,-34.42,19.23,13.89,1.98
Rikitea,29,PF,1585624268,75,-23.12,-134.97,25.82,2.17
Maragogi,97,BR,1585624528,83,-9.01,-35.22,26.26,2.32
Mataura,0,NZ,1585624392,61,-46.19,168.86,19.44,1.34
Provideniya,100,RU,1585624387,96,64.38,-173.3,-1.55,7.01
Soyo,66,AO,1585624512,88,-6.13,12.37,25.97,2.82
Yellowknife,20,CA,1585624442,45,62.46,-114.35,-16,4.1
Avarua,75,CK,1585624389,74,-21.21,-159.78,29,6.2
Katsuura,75,JP,1585624529,66,35.13,140.3,13.33,3.6
Włoszczowa,1,PL,1585624529,62,50.85,19.97,-3.33,1.83
Airai,94,TL,1585624436,46,-8.93,125.41,22.81,1.11
Arman',82,RU,1585624530,92,59.7,150.17,-6.78,3.1
Pacific Grove,75,US,1585624530,67,36.62,-121.92,15.56,3.1
Aasiaat,100,GL,1585624530,94,68.71,-52.87,-6.5,9.03
Lebu,0,CL,1585624430,74,-37.62,-73.65,13.37,6.39
Dikson,98,RU,1585624395,92,73.51,80.55,-19.75,2.51
Honiara,75,SB,1585624531,79,-9.43,159.95,30,2.1
Hilo,75,US,1585624372,65,19.73,-155.09,25,3.6
Bambous Virieux,75,MU,1585624413,100,-20.34,57.76,25,2.1
Cathedral City,1,US,1585624532,23,33.78,-116.47,24,1.5
Chui,98,UY,1585624386,90,-33.7,-53.46,21.18,4.87
Thompson,75,CA,1585624454,62,55.74,-97.86,-4,5.1
Gogrial,23,SS,1585624532,20,8.53,28.1,23.63,0.71
Port Alfred,69,ZA,1585624359,97,-33.59,26.89,18.33,1.79
Vaini,75,TO,1585624414,83,-21.2,-175.2,27,4.1
Udachny,75,RU,1585624533,85,66.42,112.4,-9,1
Richards Bay,27,ZA,1585624488,78,-28.78,32.04,21.96,8.39
Vila Franca do Campo,75,PT,1585624417,76,37.72,-25.43,14,5.7
Puerto Ayora,21,EC,1585624394,82,-0.74,-90.35,26.11,1.34
Hue,20,VN,1585624534,74,16.47,107.6,30,2.1
Mahébourg,75,MU,1585624379,100,-20.41,57.7,25,2.1
Mount Gambier,40,AU,1585624534,60,-37.83,140.77,20,3.6
Hervey Bay,75,AU,1585624535,51,-25.3,152.85,29.44,3.1
Barrow,1,US,1585624412,70,71.29,-156.79,-17,7.7
Chikwawa,30,MW,1585624535,80,-16.03,34.8,19.18,0.95
Takoradze,36,GH,1585624485,90,4.88,-1.76,26.39,2.93
Banjar,40,ID,1585624424,84,-8.19,114.97,31,5.1
Punta Arenas,40,CL,1585624396,76,-53.15,-70.92,9,5.1
Coyhaique,1,CL,1585624430,87,-45.58,-72.07,6,1.34
Iqaluit,5,CA,1585624336,64,63.75,-68.51,-20,7.7
Lüderitz,1,NA,1585624425,82,-26.65,15.16,15,3.1
New Norfolk,75,AU,1585624401,45,-42.78,147.06,19,4.1
Kapaa,75,US,1585624165,69,22.08,-159.32,25,6.7
Fort-Shevchenko,98,KZ,1585624537,86,44.51,50.26,10.08,1.89
Safi,42,MA,1585624538,81,32.3,-9.24,16.65,9.57
Evensk,97,RU,1585624538,92,61.95,159.23,-8.37,1.27
Comodoro Rivadavia,0,AR,1585624432,57,-45.87,-67.5,10,1.5
Hithadhoo,57,MV,1585624472,66,-0.6,73.08,28.64,4.61
Busselton,97,AU,1585624394,39,-33.65,115.33,23.33,1.99
Faanui,34,PF,1585624426,77,-16.48,-151.75,28.27,6.21
Albany,90,US,1585624353,93,42.6,-73.97,5.56,1.37
Torbay,90,CA,1585624364,100,47.67,-52.73,-0.56,6.2
Marsá Maţrūḩ,29,EG,1585624539,63,31.35,27.25,18.22,9.14
Cidreira,0,BR,1585624388,91,-30.18,-50.21,22.47,1.81
Baykit,100,RU,1585624540,92,61.67,96.37,-1.71,2.79
Ponta do Sol,20,PT,1585624396,67,32.67,-17.1,15,3.6
Arlit,0,NE,1585624540,15,18.74,7.39,27.17,4.37
Alice Springs,75,AU,1585624416,28,-23.7,133.88,29,5.7
Labuan,75,MY,1585624269,74,5.28,115.24,30,1.5
Bengkulu,25,ID,1585624420,59,-3.8,102.27,31.01,1.45
Poum,54,NC,1585624389,76,-20.23,164.02,25.7,8
Killybegs,100,IE,1585624542,85,54.63,-8.45,5.56,2.68
Kudus,20,ID,1585624542,74,-6.8,110.84,30,2.1
Sumkino,98,RU,1585624542,95,58.11,68.32,2.77,3.39
Fukuechō,75,JP,1585624542,77,32.69,128.84,16,2.6
Dzhida,3,RU,1585624543,42,50.68,106.18,4.12,4.72
Ucluelet,2,CA,1585624505,85,48.93,-125.55,5.56,2.95
Rionero in Vulture,75,IT,1585624543,81,40.93,15.67,9,4.6
